n,time_taken
100,0.000023
200,0.000080
300,0.000163
400,0.000264
500,0.000411
600,0.000643
700,0.001056
800,0.001443
900,0.001597
1000,0.001673
1100,0.001987
1200,0.002373
1300,0.003178
1400,0.003624
1500,0.003839
1600,0.003245
1700,0.002987
1800,0.003478
1900,0.004125
2000,0.004001
