n,time_taken
100,0.000016
200,0.000051
300,0.000111
400,0.000252
500,0.000391
600,0.000575
700,0.000588
800,0.000665
900,0.000759
1000,0.000975
1100,0.001288
1200,0.001612
1300,0.002275
1400,0.001840
1500,0.002106
1600,0.002397
1700,0.002463
1800,0.002910
1900,0.003544
2000,0.003736
